City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
323,Grindavik,IS,43.27,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
327,Dubbo,AU,64.53,-32.25,148.6167,Comfort Inn Blue Lagoon
328,Simcoe,CA,67.73,42.8334,-80.2997,Travelodge by Wyndham Simcoe
329,Larsnes,NO,58.82,62.2028,5.5773,Liset Feriesenter AS
330,New Norfolk,AU,61.92,-42.7826,147.0587,The Shingles Riverside Cottages
332,Solnechnyy,RU,45.39,50.7214,136.6319,Hotel complex Pastoral
333,Port Lincoln,AU,56.43,-34.7333,135.8667,Port Lincoln Hotel
338,Great Yarmouth,GB,52.23,52.6083,1.7305,Comfort Hotel Great Yarmouth
339,Lucapa,AO,67.17,-8.4192,20.7447,Residência Ulisses Dos Santos
341,Cooma,AU,62.37,-36.2333,149.1333,High Country Motel
344,Beachwood,US,69.75,41.4645,-81.5087,DoubleTree by Hilton Hotel Cleveland East Beachwood
347,Nerchinskiy Zavod,RU,40.6,51.3088,119.61,Tat'yana
348,Asau,RO,44.76,46.4333,26.4,Casa Mika Ciobanus
351,Eureka,US,64.2,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
352,Roma,US,65.12,43.2128,-75.4557,Wingate By Wyndham Rome
354,Mago,RU,47.32,53.2514,140.1822,
358,Barcelos,PT,55.92,41.5388,-8.6151,Hotel Do Terço
362,Sao Francisco De Paula,BR,53.28,-29.4481,-50.5836,Hotel Village da Serra
364,Santa Maria Del Oro,MX,62.1,25.9333,-105.3667,Hotel Palacio Del Sol
366,Diemen,NL,57.07,52.3416,4.9681,B&B Randje Amsterdam
